Date and Time:                Sat Nov 11 15:11:50.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.02
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              300
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
302.19794	15874
302.21887	15880
302.23978	15912
302.26071	15885
302.28162	15949
302.30255	15922
302.32346	15982
302.34439	15996
302.3653	16046
302.38623	16044
302.40714	16095
302.42804	16073
302.44897	16063
302.46988	16076
302.49081	16094
302.51172	16076
302.53262	16091
302.55356	16135
302.57446	16149
302.5954	16182
302.6163	16124
302.63721	16171
302.65814	16215
302.67905	16216
302.69995	16255
302.72089	16269
302.74179	16258
302.7627	16259
302.78363	16295
302.80453	16222
302.82544	16283
302.84634	16275
302.86728	16409
302.88818	16367
302.90909	16360
302.92999	16368
302.95093	16406
302.97183	16375
302.99274	16397
303.01364	16397
303.03458	16424
303.05548	16434
303.07639	16490
303.09729	16467
303.11819	16497
303.13913	16614
303.16003	16610
303.18094	16626
303.20184	16579
303.22275	16659
303.24365	16636
303.26456	16687
303.28546	16653
303.3064	16648
303.3273	16805
303.34821	16720
303.36911	16743
303.39001	16769
303.41092	16745
303.43182	16773
303.45273	16811
303.47363	16787
303.49454	16807
303.51544	16825
303.53635	16932
303.55725	16889
303.57816	16959
303.59906	16923
303.61996	16965
303.64087	16990
303.66177	17022
303.68268	16969
303.70358	16955
303.72449	16980
303.74539	17015
303.7663	16983
303.7872	17114
303.80811	17031
303.82901	17104
303.84991	17100
303.87079	17103
303.89169	17173
303.9126	17235
303.9335	17081
303.95441	17170
303.97531	17248
303.99622	17210
304.01709	17163
304.03799	17242
304.0589	17303
304.0798	17330
304.10071	17352
304.12161	17372
304.14249	17346
304.16339	17284
304.1843	17276
304.2052	17268
304.22607	17251
304.24698	17349
304.26788	17325
304.28879	17365
304.30966	17372
304.33057	17380
304.35147	17385
304.37234	17391
304.39325	17387
304.41415	17371
304.43503	17354
304.45593	17455
304.47684	17515
304.49771	17490
304.51862	17523
304.53952	17538
304.56039	17530
304.5813	17511
304.6022	17543
304.62308	17533
304.64398	17555
304.66486	17538
304.68576	17512
304.70667	17613
304.72754	17675
304.74844	17731
304.76932	17652
304.79022	17696
304.8111	17746
304.832	17733
304.85287	17698
304.87378	17732
304.89465	17753
304.91556	17733
304.93643	17773
304.95734	17799
304.97821	17859
304.99911	17939
305.01999	17822
305.04089	17816
305.06177	17906
305.08264	17847
305.10355	17866
305.12442	17891
305.14532	17970
305.1662	17959
305.18707	17911
305.20798	17941
305.22885	17977
305.24976	18072
305.27063	18038
305.2915	18104
305.31241	18104
305.33328	18053
305.35416	18147
305.37506	18124
305.39594	18170
305.41681	18156
305.43768	18116
305.45859	18261
305.47946	18287
305.50034	18329
305.52124	18224
305.54211	18257
305.56299	18301
305.58386	18271
305.60477	18282
305.62564	18282
305.64651	18322
305.66739	18374
305.68826	18350
305.70917	18337
305.73004	18451
305.75092	18361
305.77179	18427
305.79266	18523
305.81354	18458
305.83441	18422
305.85532	18418
305.87619	18390
305.89706	18444
305.91794	18510
305.93881	18491
305.95969	18620
305.98056	18599
306.00143	18590
306.02231	18531
306.04318	18594
306.06406	18614
306.08493	18650
306.10583	18587
306.12671	18647
306.14758	18695
306.16846	18722
306.18933	18657
306.21021	18733
306.23108	18749
306.25195	18718
306.2728	18732
306.29367	18731
306.31454	18769
306.33542	18697
306.35629	18765
306.37717	18777
306.39804	18841
306.41891	18862
306.43979	18874
306.46066	18861
306.48154	18828
306.50241	18837
306.52325	18839
306.54413	18896
306.565	18933
306.58588	18894
306.60675	18948
306.62762	18916
306.64847	19004
306.66934	18971
306.69022	18945
306.71109	19001
306.73196	18989
306.75281	19021
306.77368	18998
